material_id,formula,utility_tier,predicted_latent_bandgap_eV,stage1_score,energy_above_hull,is_dark_matter
mp-1400626,TlAgF3,Tier 1 (Standard),1.2453415,1.1897003531330816,0.014893152999999,True
mp-1219704,PrSmSeS,Tier 2 (Exotic),1.3617634,1.1893460395700703,0.042204424999999,True
mp-11784,LaYbSe3,Tier 2 (Exotic),1.189194,1.1891939640045166,0.0,True
mp-996990,BaAgO2,Tier 1 (Standard),1.1890836,1.1890835762023926,0.0,True
mp-1207229,Cs2MoBr6,Tier 3 (Refractory),1.1889513,1.1889512538909912,0.0,True
mp-998753,RbInCl3,Tier 1 (Standard),1.3166667,1.188407459778536,0.032470698,True
mp-1110603,Rb2AgPdF6,Tier 1 (Standard),1.1883556,1.188355565071106,0.0,True
mp-1176370,Na5Co2P(CO4)4,Tier 1 (Standard),1.388298,1.188335738751504,0.048011375781255,True
mp-1212166,LiEu(WO4)2,Tier 3 (Refractory),1.3033873,1.1880995290639151,0.02948413890625,True
mp-690535,Na(WO3)2,Tier 3 (Refractory),1.2430098,1.1880479055237334,0.014738929090896,True
mp-1173601,Sr10Mg2Fe3(MoO6)5,Tier 3 (Refractory),1.1960509,1.1879471434632198,0.002258471049996,True
mp-768623,Li3Fe2P2(CO7)2,Tier 1 (Standard),1.3734117,1.1871917814727173,0.045196420951091,True
mp-541510,W2Se17Cl12,Tier 3 (Refractory),1.2144729,1.1870202438101571,0.007534859037297,True
mp-10558,La3(NbN3)2,Tier 3 (Refractory),1.1868359,1.1868358850479126,0.0,True
mp-1113564,Rb2HgAsBr6,Tier 1 (Standard),1.301096,1.1865737535200156,0.029339934,True
mp-569935,La3(BN2)2,Tier 2 (Exotic),1.1863874,1.1863874197006226,0.0,True
mp-1078216,Sr2Ti2Bi2OF2,Tier 1 (Standard),1.1862911,1.1862910985946655,0.0,True
mp-28031,P2W5O19,Tier 3 (Refractory),1.2103909,1.1858337077152614,0.006762888798064,True
mp-1218757,Sr2La2TlNi2O9,Tier 2 (Exotic),1.2095747,1.185628050831931,0.006599192421867,True
mp-850975,Na4Ni2C4SO16,Tier 1 (Standard),1.3784273,1.1854442628368966,0.046667437314811,True
mp-1176374,Na4Ni2C4SO16,Tier 1 (Standard),1.3784273,1.1851052577953816,0.046749416018515,True
mp-1245429,MgZrN2,Tier 1 (Standard),1.1849617,1.1849616765975952,0.0,True
mp-621994,NdOsO4,Tier 2 (Exotic),1.1847352,1.1847351789474487,0.0,True
mp-1190526,PuPO4,Tier 4 (Extreme),1.1843189,1.1843189001083374,0.0,True
mp-1219136,Sm3DyS4,Tier 2 (Exotic),1.2044173,1.1839653793121925,0.005660266249998,True
mp-669325,TeWCl9,Tier 3 (Refractory),1.2703242,1.1836790672121429,0.022735708181816,True
mp-1105626,Nd2SbO2,Tier 2 (Exotic),1.2233487,1.1835748274917344,0.010837440999996,True
mp-754214,TlAsO4,Tier 1 (Standard),1.1832378,1.1832377910614014,0.0,True
mp-1218683,Sr2TaMnO6,Tier 3 (Refractory),1.2766553,1.1829916300453496,0.02445548799997,True
mp-694916,Ca9LaTi8Mn2O30,Tier 2 (Exotic),1.297675,1.1826393867901588,0.029549161783327,True
mp-1113321,Rb2InHgCl6,Tier 1 (Standard),1.2679211,1.1825566392208355,0.022442103999999,True
mp-1182535,K5Cr10F31,Tier 1 (Standard),1.2410371,1.1818731354725236,0.01589100853261,True
mp-1217667,TlP4(W5O17)4,Tier 3 (Refractory),1.2641174,1.1817461357180583,0.021720352607529,True
mp-1112911,Cs2HgAsBr6,Tier 1 (Standard),1.2695831,1.1814071146300504,0.023150904416666,True
mp-6779,Ba2Pr(CuO2)4,Tier 2 (Exotic),1.1813395,1.1813395023345947,0.0,True
mp-24153,LaH2,Tier 2 (Exotic),1.1810358,1.1810357570648193,0.0,True
mp-1112905,Cs2HgBiBr6,Tier 1 (Standard),1.3480116,1.180804289752088,0.041346657437498,True
